,,,
, Order Number , Cancel Stakeholder , Cancel Reason 
,"201708070642912,000", System , No response from seller 
,"201708150868462,000", Seller , Sold out 
,"201712092803286,000", System , No response from seller 
,"201708020451422,000", Seller , Incorrect price information 
,"201707179812794,000", System , No response from seller 
,"201709271789727,000", Seller , No response from seller 
,"201708180929537,000", Seller , No response from seller 
,"201712032720545,000", Seller , No response from seller 
,"201710302263761,000", Seller , Incorrect price information 
,"201708251114293,000", Seller , Delivery Delay 
,"201711222588192,000", Seller , No response from seller 
,"201708231079560,000", System , No response from seller 
,"201710112004174,000", Seller , No response from seller 
,"201709181632591,000", Seller , No response from seller 
,"201710232170401,000", Seller , Sold out 
,"201710182111365,000", Buyer , Misplaced Order 
,"201709091467204,000", Seller , No response from seller 
,"201710282239677,000", Seller , No response from seller 
,"201711122453446,000", Seller , No response from seller 
,"201708080658856,000", Buyer , Get lower price 
,"201707028949726,000", Seller , No response from seller 
,"201710182114048,000", Seller , No response from seller 
,"201710292253398,000", Seller , No response from seller 
,"201711042343737,000", Seller , Sold out 
,"201707059173647,000", Buyer , Misplaced Order 
,"201709291819812,000", Seller , Sold out 
,"201712012700297,000", Seller , No response from seller 
,"201712022713821,000", Seller , Sold out 
,"201710101993563,000", Seller , No response from seller 
,"201711162510391,000", Seller , Sold out 
,"201709041336239,000", Seller , No response from seller 
,"201712102819352,000", System , No response from seller 
,"201710312276866,000", Seller , No response from seller 
,"201707129566618,000", Seller , No response from seller 
,"201706298809858,000", Seller , Incorrect price information 
,"201707219980064,000", System , No response from seller 
,"201711182538536,000", Seller , No response from seller 
,"201709281815080,000", Seller , No response from seller 
,"201712122842172,000", Buyer , Misplaced Order 
,"201711262638477,000", Buyer , Misplaced Order 
,"201707310390380,000", Seller , Sold out 
,"201709071412562,000", System , No response from seller 
,"201709051375744,000", System , No response from seller 
,"201709291826376,000", Seller , No response from seller 
,"201710232180066,000", Seller , No response from seller 
,"201707179797020,000", Buyer , Customer’s change of mind 
,"201707189865968,000", System , No response from seller 
,"201709031309494,000", System , No response from seller 
,"201710111998247,000", Seller , Sold out 
,"201707099380863,000", Seller , No response from seller 
,"201707280257290,000", Buyer , Get lower price 
,"201712052756382,000", Seller , Sold out 
,"201710122023935,000", Seller , Sold out 
,"201708070645734,000", Seller , Delivery Delay 
,"201711032320109,000", Seller , No response from seller 
,"201710182113702,000", Buyer , Misplaced Order 
,"201707290285611,000", Seller , No response from seller 
,"201708291189800,000", System , No response from seller 
,"201706298812263,000", Seller , Incorrect price information 
,"201710122024650,000", Seller , No response from seller 
,"201712112829774,000", System , No response from seller 
,"201711082393168,000", Seller , Sold out 
,"201710041887887,000", Buyer , Get lower price 
,"201711152504359,000", Seller , No response from seller 
,"201710162071227,000", Seller , Sold out 
,"201709121524789,000", Seller , No response from seller 
,"201711102427203,000", Buyer , Get lower price 
,"201709281803639,000", Seller , Sold out 
,"201710041897966,000", System , No response from seller 
,"201709171611529,000", Seller , Sold out 
,"201712012705329,000", Buyer , Get lower price 
,"201708281180035,000", System , No response from seller 
,"201707209925222,000", Seller , No response from seller 
,"201711282665118,000", Seller , No response from seller 
,"201711032327750,000", Seller , No response from seller 
,"201711062369055,000", Seller , No response from seller 
,"201709201664789,000", Seller , No response from seller 
,"201707079305198,000", Seller , Sold out 
,"201709111502339,000", Seller , No response from seller 
,"201707039068106,000", System , No response from seller 
,"201710101985047,000", Seller , Incorrect price information 
,"201712052751654,000", Seller , Sold out 
,"201708130805802,000", Seller , No response from seller 
