Order Number,Purchase Confirmation Date
"20,170,724,008,851,700,000",20170727
"20,170,701,888,979,000,000",20170701
"20,170,707,926,467,500,000",20170707
"20,170,720,994,571,400,000",20170722
"20,170,722,000,235,400,000",20170802
"20,170,714,967,196,200,000",20170714
"20,170,703,901,892,800,000",20170703
"20,170,707,929,101,100,000",20170707
"20,170,621,838,696,000,000",20170703
"20,170,723,004,793,900,000",20170729
"20,170,729,031,904,200,000",20170729
"20,170,714,965,530,000,000",20170718
"20,170,706,921,397,000,000",20170706
"20,170,728,025,653,100,000",20170728
"20,170,708,937,432,100,000",20170708
"20,170,704,907,892,700,000",20170709
"20,170,718,983,427,700,000",20170718
"20,170,721,996,705,400,000",20170728
"20,170,707,931,195,600,000",20170707
"20,170,709,939,358,500,000",20170710
"20,170,702,896,091,400,000",20170702
"20,170,729,030,850,000,000",20170809
"20,170,730,033,464,400,000",20170730
"20,170,731,035,786,300,000",20170731
"20,170,704,908,366,700,000",20170704
"20,170,714,970,246,400,000",20170715
"20,170,711,948,744,600,000",20170711
"20,170,712,955,955,300,000",20170712
"20,170,706,922,075,000,000",20170709
"20,170,704,909,031,800,000",20170704
"20,170,728,027,962,100,000",20170803
"20,170,713,964,140,100,000",20170720
"20,170,725,014,895,400,000",20170725
"20,170,703,906,548,100,000",20170703
"20,170,721,995,476,600,000",20170721
"20,170,703,904,112,800,000",20170703
"20,170,707,927,228,000,000",20170710
"20,170,714,967,361,300,000",20170726
"20,170,731,039,696,300,000",20170809
"20,170,701,890,675,500,000",20170726
"20,170,711,950,892,800,000",20170711
"20,170,715,972,775,300,000",20170717
"20,170,710,945,258,700,000",20170710
"20,170,709,939,026,000,000",20170718
"20,170,709,939,792,400,000",20170709
"20,170,707,927,193,000,000",20170718
"20,170,731,035,816,700,000",20170731
"20,170,702,897,966,600,000",20170702
"20,170,710,945,964,800,000",20170710
"20,170,808,066,584,600,000",20170816
"20,170,812,079,976,500,000",20170815
"20,170,810,073,623,100,000",20170810
"20,170,813,081,723,300,000",20170822
"20,170,829,119,300,600,000",20170906
"20,170,815,086,848,000,000",20170815
"20,170,815,087,226,800,000",20170815
"20,170,807,061,933,800,000",20170815
"20,170,831,124,267,000,000",20170831
"20,170,825,112,112,200,000",20170825
"20,170,822,104,660,300,000",20170822
"20,170,801,042,481,300,000",20170803
"20,170,805,056,481,800,000",20170805
"20,170,809,068,663,900,000",20170814
"20,170,831,124,278,100,000",20170831
"20,170,825,110,531,500,000",20170825
"20,170,811,076,074,900,000",20170811
"20,170,801,041,339,900,000",20170809
"20,170,814,082,710,800,000",20170816
"20,170,811,076,822,100,000",20170816
"20,170,808,065,511,500,000",20170811
"20,170,809,070,300,400,000",20170809
"20,170,804,054,585,200,000",20170804
"20,170,826,113,057,300,000",20170826
"20,170,806,059,200,300,000",20170806
"20,170,822,104,669,500,000",20170822
"20,170,808,066,553,600,000",20170816
"20,170,823,106,303,000,000",20170823
"20,170,826,112,903,100,000",20170826
"20,170,804,054,315,200,000",20170810
"20,170,814,083,651,700,000",20170824
"20,170,806,058,634,000,000",20170808
"20,170,830,121,568,900,000",20170830
"20,170,829,120,210,300,000",20170829
"20,170,803,050,360,000,000",20170810
"20,170,816,089,592,600,000",20170816
"20,170,814,085,244,800,000",20170814
"20,170,822,105,097,600,000",20170824
"20,170,825,110,823,700,000",20170825
"20,170,801,041,274,400,000",20170809
"20,170,814,085,227,800,000",20170814
"20,170,831,123,547,200,000",20170906
"20,170,810,073,474,200,000",20170810
"20,170,814,084,779,600,000",20170814
"20,170,815,086,723,500,000",20170815
"20,170,820,098,868,900,000",20170820
"20,170,823,107,561,900,000",20170823
"20,170,802,044,856,600,000",20170802
"20,170,809,068,483,800,000",20170809
"20,170,807,062,447,700,000",20170807
"20,170,827,115,207,200,000",20170831
"20,170,821,099,628,100,000",20170821
"20,170,809,068,104,000,000",20170809
"20,170,924,173,182,500,000",20170924
"20,170,902,127,746,000,000",20170909
"20,170,924,172,909,400,000",20171011
"20,170,920,167,058,400,000",20170927
"20,170,910,148,163,900,000",20170915
"20,170,905,135,319,100,000",20170905
"20,170,903,130,198,600,000",20170913
"20,170,927,179,234,000,000",20170928
"20,170,911,150,227,300,000",20170911
"20,170,920,167,033,100,000",20171012
"20,170,923,171,744,300,000",20170925
"20,170,917,161,402,000,000",20170922
"20,170,902,127,841,900,000",20170909
"20,170,904,131,989,400,000",20170908
"20,170,922,170,275,200,000",20170925
"20,170,914,156,508,400,000",20171002
"20,170,914,156,287,200,000",20170927
"20,170,911,150,434,300,000",20170913
"20,170,912,151,925,000,000",20170913
"20,170,905,135,850,100,000",20170905
"20,170,914,157,240,100,000",20170920
"20,170,921,168,671,200,000",20170921
"20,170,910,148,857,800,000",20170915
