month_order_purchase,number_orders,number_customer,total_price,next_number_orders,next_number_customers,next_total_price,perc_number_orders,perc_number_customers,perc_total_price
2017-01-01,789,789,120.312.555,,,,,,
2017-02-01,1733,1733,247304.05,789,789,120.312.555,11.964.512.040.557.600,11.964.512.040.557.600,10.555.091.306.127.300
2017-03-01,2641,2641,374349.75,1733,1733,247304.05,5.239.469.128.678.590,5.239.469.128.678.590,5.137.239.022.385.080
2017-04-01,2391,2391,359931.53,2641,2641,374349.75,-9.466.111.321.469.140,-9.466.111.321.469.140,-38.514.784.636.559.700
2017-05-01,3660,3660,506081.47,2391,2391,359931.53,5.307.402.760.351.310,5.307.402.760.351.310,4.060.494.491.617.280
2017-06-01,3217,3217,433045.5,3660,3660,506081.47,-12.103.825.136.612.000,-12.103.825.136.612.000,-14.431.668.517.797.300
2017-07-01,3969,3969,498042.62,3217,3217,433045.5,233.758.159.776.189,233.758.159.776.189,1.500.927.731.612.490
2017-08-01,4293,4293,573979.3,3969,3969,498042.62,8.163.265.306.122.440,8.163.265.306.122.440,15.247.088.539.861.400
2017-09-01,4243,4243,624404.3,4293,4293,573979.3,-11.646.866.992.778.900,-11.646.866.992.778.900,8.785.159.831.000.000
2017-10-01,4568,4568,664221.44,4243,4243,624404.3,7.659.674.758.425.640,7.659.674.758.425.640,6.376.797.725.912.560
2017-11-01,7451,7451,1010257.44,4568,4568,664221.44,6.311.295.971.978.980,6.311.295.971.978.980,5.209.648.175.500.200
2017-12-01,5624,5624,743914.3,7451,7451,1010257.44,-24.520.198.631.056.200,-24.520.198.631.056.200,-26.363.874.208.053.000
2018-01-01,7220,7220,950013.8,5624,5624,743914.3,28.378.378.378.378.300,28.378.378.378.378.300,27.704.803.703.450.700
2018-02-01,6694,6694,844169.2,7220,7220,950013.8,-7.285.318.559.556.780,-7.285.318.559.556.780,-11.141.416.957.029.700
2018-03-01,7188,7188,983198.4,6694,6694,844169.2,7.379.743.053.480.720,7.379.743.053.480.720,16.469.328.904.521.200
2018-04-01,6934,6934,996631.56,7188,7188,983198.4,-3.533.667.223.149.690,-3.533.667.223.149.690,1.366.255.309.362.160
2018-05-01,6853,6853,996501.06,6934,6934,996631.56,-11.681.569.079.896.100,-11.681.569.079.896.100,-1.304.393.768.886
2018-06-01,6160,6160,865115.7,6853,6853,996501.06,-10.112.359.550.561.700,-10.112.359.550.561.700,-13.184.632.204.042.400
2018-07-01,6273,6273,895495.9,6160,6160,865115.7,18.344.155.844.155.800,18.344.155.844.155.800,3.511.669.067.959.190
2018-08-01,6452,6452,854679.0,6273,6273,895495.9,28.534.991.232.265.200,28.534.991.232.265.200,-45.580.332.796.061.100
